Antibody Name,Antibody Origin,Gene Name,Validation Status,Slide Id,Antibody Name in Heatmap,Probabilities (QC Score),Slide no.,Sample Type,,control,drug-10min,drug-30min,drug-60min
MSH6,R,MSH6,C,GBL1103480,MSH6-R-C,0.970330332,167,MSH6-R-C,NormLinear,1.776895091,1.35955987,0.446554059,0.411868408
MSI2,R,MSI2,C,GBL1103579,MSI2-R-C,0.95186111,168,MSI2-R-C,NormLinear,0.960351226,0.994762673,1.030345753,0.996508128
mTOR,R,MTOR,V,GBL1103416,mTOR-R-V,0.968713717,169,mTOR-R-V,NormLinear,1.57145316,1.36821373,0.432705128,0.214293622
mTOR_pS2448,R,MTOR,C,GBL1103418,mTOR_pS2448-R-C,0.97181315,170,mTOR_pS2448-R-C,NormLinear,1.285464204,1.19939153,0.702874413,0.49750943
Myosin-11,R,MYH11,V,GBL1103679,Myosin-11-R-V,0.934307663,171,Myosin-11-R-V,NormLinear,0.961765704,1.019313826,0.991056089,0.95392619
Myosin-IIa_pS1943,R,MYO2A,V,GBL1103509,Myosin-IIa_pS1943-R-V,0.931651103,172,Myosin-IIa_pS1943-R-V,NormLinear,2.542287236,1.528264917,0.176572256,0.094063871
Myt1,R,MYT1,C,GBL1103588,Myt1-R-C,0.957707258,173,Myt1-R-C,NormLinear,1.15465104,1.01675002,0.995158996,1.012054072
N-Cadherin,R,CDH2,V,GBL1103419,N-Cadherin-R-V,0.864852179,174,N-Cadherin-R-V,NormLinear,0.977230956,0.947845848,1.094247019,1.149514173
N-Ras,M,NRAS,V,GBL1103711,N-Ras-M-V,0.861093379,175,N-Ras-M-V,NormLinear,0.753963656,0.940935057,1.09724449,1.161014712
NAPSIN-A,R,NAPSA,C,GBL1103532,NAPSIN-A-R-C,0.920376895,176,NAPSIN-A-R-C,NormLinear,1.256254519,1.026233177,0.634845669,1.019066509
NDRG1_pT346,R,NDRG1,V,GBL1103497,NDRG1_pT346-R-V,0.956721069,177,NDRG1_pT346-R-V,NormLinear,0.687188033,1.511901947,0.674415497,0.435092765
NDUFB4,M,NDUFB4,V,GBL1103666,NDUFB4-M-V,0.881360949,178,NDUFB4-M-V,NormLinear,0.942486612,0.91324448,1.160800823,1.173329551
NF-kB-p65_pS536,R,NFKB1,C,GBL1103420,NF-kB-p65_pS536-R-C,0.964786657,179,NF-kB-p65_pS536-R-C,NormLinear,1.030093136,1.052369514,0.938156461,0.887667718
Notch1,R,NOTCH1,V,GBL1103481,Notch1-R-V,0.96989984,180,Notch1-R-V,NormLinear,1.169339238,1.014598722,0.998601758,1.012539355
Notch3,R,NOTCH3,C,GBL1103604,Notch3-R-C,0.946954854,181,Notch3-R-C,NormLinear,0.857124783,0.930567339,1.032723889,1.178268067
Oct-4,R,OCT4,C,GBL1103577,Oct-4-R-C,0.939288025,182,Oct-4-R-C,NormLinear,0.972546096,0.957016829,1.090751123,1.055423111
P-Cadherin,R,CDH3,C,GBL1103426,P-Cadherin-R-C,0.943466054,183,P-Cadherin-R-C,NormLinear,0.8915771,0.847238775,1.064425346,1.31693865
p16INK4a,R,CDKN2A,V,GBL1103525,p16INK4a-R-V,0.897514377,184,p16INK4a-R-V,NormLinear,0.781233375,0.888792126,1.199932377,0.915506714
p21,R,CDKN1A,V,GBL1103603,p21-R-V,0.851860653,185,p21-R-V,NormLinear,0.782433045,1.000027536,1.021920295,1.034857594
p27-Kip-1,R,CDKN1B,V,GBL1103461,p27-Kip-1-R-V,0.948923998,186,p27-Kip-1-R-V,NormLinear,0.954271858,0.873064431,1.225101698,1.265281079
p27_pT198,R,CDKN1B,V,GBL1103457,p27_pT198-R-V,0.966423536,187,p27_pT198-R-V,NormLinear,0.808475768,0.843067167,1.013122935,1.323880799
p38-MAPK,R,MAPK14,V,GBL1103421,p38-MAPK-R-V,0.967271069,188,p38-MAPK-R-V,NormLinear,1.447987865,1.228080994,0.656962134,0.316707397
p38_pT180_Y182,R,MAPK14,V,GBL1103422,p38_pT180_Y182-R-V,0.878077346,189,p38_pT180_Y182-R-V,NormLinear,1.388438709,1.225147461,0.66165672,0.621648791
p44-42-MAPK,R,MAPK3,V,GBL1103491,p44-42-MAPK-R-V,0.944276462,190,p44-42-MAPK-R-V,NormLinear,0.982623816,1.017886803,0.99333978,0.600641241
p53,R,TP53,C,GBL1103373,p53-R-C,0.93000125,191,p53-R-C,NormLinear,1.200685192,1.119737109,0.830346854,0.65682446
p70-S6K1,R,RPS6KB1,V,GBL1103423,p70-S6K1-R-V,0.961497585,192,p70-S6K1-R-V,NormLinear,1.229921487,1.16639339,0.755681946,0.726006546
p70-S6K_pT389,R,RPS6KB1,V,GBL1103424,p70-S6K_pT389-R-V,0.964010679,193,p70-S6K_pT389-R-V,NormLinear,1.1112748,1.060500716,0.925143948,0.911956855
p90RSK_pT573,R,RPS6K,C,GBL1103514,p90RSK_pT573-R-C,0.968371256,194,p90RSK_pT573-R-C,NormLinear,1.140209512,0.77687393,1.240780066,1.434035759
PAI-1,M,SERPINE1,V,GBL1103620,PAI-1-M-V,0.95228827,195,PAI-1-M-V,NormLinear,0.542792675,0.72244439,1.125704891,1.524614256
PAICS,R,PAICS,C,GBL1103536,PAICS-R-C,0.965606868,196,PAICS-R-C,NormLinear,1.085959611,1.101766005,0.859106344,0.492655074
PAK1,R,PAK1,V,GBL1103590,PAK1-R-V,0.958170281,197,PAK1-R-V,NormLinear,1.548994022,1.155266718,0.773488164,0.550302711
PAK4,R,PAK4,V,GBL1103549,PAK4-R-V,0.901064952,198,PAK4-R-V,NormLinear,1.235195493,1.074610832,0.90256327,0.906348716
PAR,R,PAR,C,GBL1103546,PAR-R-C,0.951785685,199,PAR-R-C,NormLinear,0.446598203,0.516683671,6.765207281,1.410473846
PARP,R,PARP1,V,GBL1103600,PARP-R-V,0.962983865,200,PARP-R-V,NormLinear,1.37732223,0.889193452,1.167808043,1.2471201
Paxillin,R,PXN,C,GBL1103425,Paxillin-R-C,0.96243545,201,Paxillin-R-C,NormLinear,1.278917582,1.128690186,0.81601908,0.594935325
PCNA,M,PCNA,C,GBL1103642,PCNA-M-C,0.918360498,202,PCNA-M-C,NormLinear,1.091757172,1.125683325,0.820831014,0.77794378
PD-L1,R,CD274,C,GBL1103580,PD-L1-R-C,0.919036342,203,PD-L1-R-C,NormLinear,0.927002858,0.944135104,1.111365987,1.094990666
Pdcd4,R,PDCD4,C,GBL1103454,Pdcd4-R-C,0.960171092,204,Pdcd4-R-C,NormLinear,1.436220796,1.285799083,0.56459481,0.407130951
PDGFR-b,R,PDGFR,V,GBL1103523,PDGFR-b-R-V,0.933834882,205,PDGFR-b-R-V,NormLinear,0.765262867,0.986992364,1.042780722,1.058067992
PDHK1,R,PDHK1,C,GBL1103700,PDHK1-R-C,0.962849425,206,PDHK1-R-C,NormLinear,0.845551434,0.964118111,1.057185972,1.122434812
PDK1,R,PDK1,V,GBL1103427,PDK1-R-V,0.942874399,207,PDK1-R-V,NormLinear,0.957105892,1.001919898,0.82365008,1.059527262
PDK1_pS241,R,PDK1,V,GBL1103428,PDK1_pS241-R-V,0.97467871,208,PDK1_pS241-R-V,NormLinear,1.30952553,1.289189575,0.559168943,0.472284588
PEA-15,R,PEA15,V,GBL1103469,PEA-15-R-V,0.964477693,209,PEA-15-R-V,NormLinear,1.040719566,1.116752278,0.835123534,0.499520432
PEA-15_pS116,R,PEA15,V,GBL1103470,PEA-15_pS116-R-V,0.935759355,210,PEA-15_pS116-R-V,NormLinear,0.771554624,0.827125707,1.298618286,1.10085607
PI3K-p110-a,R,PIK3C2A,C,GBL1103453,PI3K-p110-a-R-C,0.967593576,211,PI3K-p110-a-R-C,NormLinear,1.243183295,1.038227141,0.960788762,0.918199976
PI3K-p110-b,M,PIK3BC,C,GBL1103665,PI3K-p110-b-M-C,0.927077518,212,PI3K-p110-b-M-C,NormLinear,0.930947006,0.927958463,1.131150915,1.182609609
PI3K-p85,R,PIK3R1,V,GBL1103429,PI3K-p85-R-V,0.978363768,213,PI3K-p85-R-V,NormLinear,1.136599152,1.124602909,0.822560025,0.657295755
PKA-a,R,PRKAR1A,V,GBL1103576,PKA-a-R-V,0.967861793,214,PKA-a-R-V,NormLinear,0.986578939,1.063287021,0.920684973,0.676635157
PKC-b-II_pS660,R,PRKCB,V,GBL1103501,PKC-b-II_pS660-R-V,0.969527265,215,PKC-b-II_pS660-R-V,NormLinear,1.675207692,1.272963771,0.585135396,0.500419922
PKC-delta_pS664,R,PRKCD,V,GBL1103464,PKC-delta_pS664-R-V,0.963257968,216,PKC-delta_pS664-R-V,NormLinear,0.867833007,0.963973254,1.07961863,1.022250929
PKCa,R,PRKCA,V,GBL1103508,PKCa-R-V,0.958981114,217,PKCa-R-V,NormLinear,0.787098555,0.762413814,1.38222755,1.28951105
PKM2,R,PKM,C,GBL1103472,PKM2-R-C,0.945205213,218,PKM2-R-C,NormLinear,1.455606336,1.352835117,0.457315805,0.18037086
PLC-gamma2_pY759,R,PLCG2,C,GBL1103473,PLC-gamma2_pY759-R-C,0.932814329,219,PLC-gamma2_pY759-R-C,NormLinear,0.888925483,0.9392425,1.119195712,1.114464945
PLK1,R,PLK1,C,GBL1103447,PLK1-R-C,0.966553744,220,PLK1-R-C,NormLinear,1.432788433,1.041388991,0.955728795,0.914261267
PMS2,R,PMS2,V,GBL1103526,PMS2-R-V,0.964918485,221,PMS2-R-V,NormLinear,1.762289003,1.168453427,0.752385231,0.648282704
Porin,M,VDAC1,V,GBL1103640,Porin-M-V,0.935747127,222,Porin-M-V,NormLinear,0.937550577,0.926588444,1.050151539,1.184889516
PR,R,PGR,V,GBL1103430,PR-R-V,0.9620459,223,PR-R-V,NormLinear,0.864646722,0.918650966,1.152148723,1.14305224
PRAS40,M,AKT1S1,C,GBL1103627,PRAS40-M-C,0.933864921,224,PRAS40-M-C,NormLinear,0.876867589,0.981791643,1.032231791,1.093023541
PRAS40_pT246,R,AKT1S1,V,GBL1103446,PRAS40_pT246-R-V,0.957313131,225,PRAS40_pT246-R-V,NormLinear,0.930273976,0.918885857,1.117333882,1.197707716
PREX1,R,PREX1,V,GBL1103518,PREX1-R-V,0.959098734,226,PREX1-R-V,NormLinear,1.057444444,0.941620071,1.115390841,1.118584757
PTEN,R,PTEN,V,GBL1103432,PTEN-R-V,0.955263652,227,PTEN-R-V,NormLinear,1.146960311,1.141923302,0.794841879,0.742328564
Rab11,R,RAB11A,C,GBL1103487,Rab11-R-C,0.966555415,228,Rab11-R-C,NormLinear,0.902544544,0.954234318,1.095204028,1.120256667
Rab25,R,RAB25,V,GBL1103505,Rab25-R-V,0.946713966,229,Rab25-R-V,NormLinear,0.948838754,0.901401656,1.179753114,1.073919895
Rad50,M,RAD50,V,GBL1103631,Rad50-M-V,0.937964145,230,Rad50-M-V,NormLinear,0.932747494,1.070080942,0.909812536,0.925653391
Rad51,R,RAD51,V,GBL1103718,Rad51-R-V,0.921391679,231,Rad51-R-V,NormLinear,0.910026954,1.073951455,0.903618482,0.887228447
Raptor,R,RPTOR,V,GBL1103498,Raptor-R-V,0.957214958,232,Raptor-R-V,NormLinear,1.1734569,1.033010076,0.969137727,0.876440222
Rb,M,RB1,Q,GBL1103621,Rb-M-Q,0.92696399,233,Rb-M-Q,NormLinear,1.022958982,0.983573359,1.048252219,1.07743876
RBM15,R,RBM15,V,GBL1103502,RBM15-R-V,0.968727315,234,RBM15-R-V,NormLinear,0.974640544,1.086823786,0.883018653,0.797184912
Rb_pS807_S811,R,RB1,V,GBL1103431,Rb_pS807_S811-R-V,0.96851696,235,Rb_pS807_S811-R-V,NormLinear,1.729727918,1.385440021,0.405137576,0.285167007
Rheb,M,RHEB,C,GBL1103628,Rheb-M-C,0.948860387,236,Rheb-M-C,NormLinear,1.223867876,1.136293906,0.803850705,0.755906984
Rictor,R,RICTOR,C,GBL1103499,Rictor-R-C,0.965241602,237,Rictor-R-C,NormLinear,1.221147554,1,0.910248177,1.062722246
Rictor_pT1135,R,RICTOR,V,GBL1103500,Rictor_pT1135-R-V,0.973899381,238,Rictor_pT1135-R-V,NormLinear,0.929752301,0.898926161,1.070417808,1.230923488
RIP,R,RIP,C,GBL1103568,RIP-R-C,0.924043565,239,RIP-R-C,NormLinear,1.396829181,1.143379086,0.792512161,0.74292386
Rock-1,R,ROCK1,C,GBL1103614,Rock-1-R-C,0.944112283,240,Rock-1-R-C,NormLinear,1.062551964,1.014774789,0.968697222,1.038134896
RPA32,T,RPA2,C,GBL1103705,RPA32-T-C,0.911913268,241,RPA32-T-C,NormLinear,1.01568883,1.102168608,0.858462051,0.77315931
RPA32_pS4_S8,R,RPA2,C,GBL1103615,RPA32_pS4_S8-R-C,0.970968227,242,RPA32_pS4_S8-R-C,NormLinear,1.150909269,1.035940882,0.964447504,0.950021312
RSK,R,RPS6KA1,C,GBL1103449,RSK-R-C,0.977103375,243,RSK-R-C,NormLinear,1.105309453,1.166466002,0.755565743,0.577034005
S6,M,RPS6,V,GBL1103647,S6-M-V,0.867879294,244,S6-M-V,NormLinear,1.100362766,1.273633458,0.584063684,0.380266226
S6_pS235_S236,R,RPS6,V,GBL1103374,S6_pS235_S236-R-V,0.952495659,245,S6_pS235_S236-R-V,NormLinear,2.790202185,1.457672461,0.289542668,0.100206313
S6_pS240_S244,R,RPS6,V,GBL1103433,S6_pS240_S244-R-V,0.955581275,246,S6_pS240_S244-R-V,NormLinear,2.400234331,1.37494986,0.421925173,0.208683179
SCD,M,SCD,V,GBL1103707,SCD-M-V,0.902003185,247,SCD-M-V,NormLinear,0.886455458,0.923148959,1.120169296,1.190613307
SDHA,R,SDHA,V,GBL1103687,SDHA-R-V,0.933615694,248,SDHA-R-V,NormLinear,0.715193843,0.883680306,1.048258345,1.25629476
SF2,M,SRSF1,V,GBL1103633,SF2-M-V,0.891558374,249,SF2-M-V,NormLinear,1.007666577,1.055333932,0.933412447,0.809452852
Shc_pY317,R,SHC1,V,GBL1103474,Shc_pY317-R-V,0.970197381,250,Shc_pY317-R-V,NormLinear,1.098302847,1.06937008,0.910950141,0.820413186
SHP-2_pY542,R,PTPN11,C,GBL1103515,SHP-2_pY542-R-C,0.972836925,251,SHP-2_pY542-R-C,NormLinear,0.916555147,0.968221474,1.072820125,0.993000238
SLC1A5,R,SLC1A5,C,GBL1103535,SLC1A5-R-C,0.954794418,252,SLC1A5-R-C,NormLinear,1.14777596,1.074385498,0.902923875,0.844529416
Slfn11,G,SLFN11,C,GBL1103704,Slfn11-G-C,0.930826328,253,Slfn11-G-C,NormLinear,0.791578615,0.934037961,1.042182902,1.172492459
Smac,M,DIABLO,Q,GBL1103622,Smac-M-Q,0.953860449,254,Smac-M-Q,NormLinear,0.826980221,0.938046541,1.121109626,1.065342451
Smad1,R,SMAD1,V,GBL1103463,Smad1-R-V,0.955111376,255,Smad1-R-V,NormLinear,0.902220683,0.917892962,1.153361772,1.189670243
Smad3,R,SMAD3,V,GBL1103451,Smad3-R-V,0.954179258,256,Smad3-R-V,NormLinear,1.192338077,0.907458806,1.143298579,1.216723954
Smad4,M,SMAD4,V,GBL1103710,Smad4-M-V,0.883092708,257,Smad4-M-V,NormLinear,0.784755736,0.826425929,1.23095495,1.351574185
Snail,M,SNAI2,Q,GBL1103623,Snail-M-Q,0.939897598,258,Snail-M-Q,NormLinear,0.987614565,0.980484271,1.037607331,1.095199195
SOD1,M,SOD1,V,GBL1103646,SOD1-M-V,0.891508153,259,SOD1-M-V,NormLinear,0.927446513,0.97862835,0.969341248,1.098287711
SOD2,R,SOD2,V,GBL1103686,SOD2-R-V,0.935428701,260,SOD2-R-V,NormLinear,0.958242029,1.175830101,0.740580203,0.763743281
Sox2,R,SOX2,V,GBL1103578,Sox2-R-V,0.938477751,261,Sox2-R-V,NormLinear,0.916976265,0.96013603,1.08575941,1.071500987
Src,M,SRC,V,GBL1103624,Src-M-V,0.939467493,262,Src-M-V,NormLinear,0.922224301,0.947897551,1.105344873,1.128909905
Src_pY416,R,SRC,V,GBL1103434,Src_pY416-R-V,0.968418322,263,Src_pY416-R-V,NormLinear,1.028469967,0.973459509,1.064437599,1.06205354
Src_pY527,R,SRC,V,GBL1103435,Src_pY527-R-V,0.966592443,264,Src_pY527-R-V,NormLinear,0.764007263,0.868334989,1.192079162,1.281831549
Stat3,R,STAT3,C,GBL1103516,Stat3-R-C,0.96046552,265,Stat3-R-C,NormLinear,1.334963864,1.120708917,0.828791652,0.780868859
Stat3_pY705,R,STAT3,V,GBL1103436,Stat3_pY705-R-V,0.969511298,266,Stat3_pY705-R-V,NormLinear,0.897108616,1.0170896,0.994615559,1.013624842
Stat5a,R,STAT5A,V,GBL1103437,Stat5a-R-V,0.945932933,267,Stat5a-R-V,NormLinear,1.151686254,1.027777103,0.97751215,0.997198112
Stathmin-1,R,STMN1,V,GBL1103442,Stathmin-1-R-V,0.94362521,268,Stathmin-1-R-V,NormLinear,0.938042917,0.967040695,1.074709747,0.85291703
Syk,M,SYK,V,GBL1103693,Syk-M-V,0.911692441,269,Syk-M-V,NormLinear,0.771721085,0.905172078,1.149188196,1.220529394
Tau,M,MAPT,C,GBL1103625,Tau-M-C,0.828111056,270,Tau-M-C,NormLinear,0.867653051,0.993229688,1.032799017,1.062030446
TAZ,R,WWTR1,V,GBL1103593,TAZ-R-V,0.92791322,271,TAZ-R-V,NormLinear,1.203596676,0.986216536,1.044022294,0.451110016
TFAM,R,TFAM,V,GBL1103538,TFAM-R-V,0.944483104,272,TFAM-R-V,NormLinear,0.977508454,1.109277135,0.847086144,0.849013293
TFRC,R,TFRC,V,GBL1103504,TFRC-R-V,0.962611175,273,TFRC-R-V,NormLinear,0.486398732,0.965279067,1.23346154,1.293158006
TIGAR,R,TIGAR,V,GBL1103489,TIGAR-R-V,0.965633726,274,TIGAR-R-V,NormLinear,0.931209369,0.919222529,1.15123404,1.167537887
Transglutaminase,M,TGM2,V,GBL1103654,Transglutaminase-M-V,0.833281202,275,Transglutaminase-M-V,NormLinear,1.479031005,1.218604909,0.672126887,0.482419948
TRIM25,R,TRIM25,C,GBL1103583,TRIM25-R-C,0.961806941,276,TRIM25-R-C,NormLinear,1.500443705,1.311454993,0.523537182,0.347742525
TSC1,R,TSC1,C,GBL1103496,TSC1-R-C,0.971646278,277,TSC1-R-C,NormLinear,1.236407952,1.087998086,0.8811394,0.853181904
TTF1,R,TTF1,V,GBL1103486,TTF1-R-V,0.936580226,278,TTF1-R-V,NormLinear,1.107001156,1.040399127,0.957312893,0.96001024
Tuberin,R,TSC2,V,GBL1103438,Tuberin-R-V,0.965002004,279,Tuberin-R-V,NormLinear,1.166188817,1.012363622,1.002178629,0.85006476
Tuberin_pT1462,R,TSC2,V,GBL1103439,Tuberin_pT1462-R-V,0.947065218,280,Tuberin_pT1462-R-V,NormLinear,0.982098851,0.995025434,1.029925251,0.996536839
TUFM,R,TUFM,V,GBL1103592,TUFM-R-V,0.942539803,281,TUFM-R-V,NormLinear,1.129324809,1.039092662,0.959403652,0.962442969
TWIST,M,TWIST1,C,GBL1103668,TWIST-M-C,0.823727783,282,TWIST-M-C,NormLinear,0.854533815,0.915251108,1.132985048,1.203756454
Tyro3,R,TYRO3,V,GBL1103485,Tyro3-R-V,0.948899865,283,Tyro3-R-V,NormLinear,0.912208507,0.936510113,1.080724704,1.168378448
U-Histone-H2B,R,HIST1H2BB,C,GBL1103575,U-Histone-H2B-R-C,0.918824243,284,U-Histone-H2B-R-C,NormLinear,0.219031136,0.318324198,4.122760868,2.081249391
UBAC1,R,UBAC1,V,GBL1103530,UBAC1-R-V,0.967404485,285,UBAC1-R-V,NormLinear,0.951386693,1.00710442,1.010595028,0.750428885
UGT1A,M,UGT1A,V,GBL1103695,UGT1A-M-V,0.915322586,286,UGT1A-M-V,NormLinear,0.850459839,0.940953553,1.06706908,1.160983931
ULK1_pS757,R,ULK1,C,GBL1103569,ULK1_pS757-R-C,0.970388745,287,ULK1_pS757-R-C,NormLinear,1.246900672,0.985575826,1.045047634,1.083077042
VASP,R,VASP,V,GBL1103440,VASP-R-V,0.94336038,288,VASP-R-V,NormLinear,0.930845807,0.918691013,1.152084635,1.151248728
VEGFR-2,R,KDR,V,GBL1103441,VEGFR-2-R-V,0.956178437,289,VEGFR-2-R-V,NormLinear,1.054598196,1.125328942,0.82139814,0.802545937
VHL-EPPK1,M,EPPK1,C,GBL1103652,VHL-EPPK1-M-C,0.899458221,290,VHL-EPPK1-M-C,NormLinear,1.17862943,1.018428642,0.992472665,0.524907979
Vimentin,M,VIM,C,GBL1103671,Vimentin-M-C,0.861708621,291,Vimentin-M-C,NormLinear,0.099851086,0.149676248,2.853160754,2.432543906
Wee1,R,WEE1,C,GBL1103587,Wee1-R-C,0.928080008,292,Wee1-R-C,NormLinear,1.416487846,1.043812028,0.951851163,0.909144912
Wee1_pS642,R,WEE1,C,GBL1103598,Wee1_pS642-R-C,0.957567118,293,Wee1_pS642-R-C,NormLinear,0.800757316,0.944439697,1.110878541,1.105389473
WIPI1,R,WIPI1,C,GBL1103701,WIPI1-R-C,0.896677825,294,WIPI1-R-C,NormLinear,0.759475033,0.949986302,1.102002207,1.141933595
WIPI2,R,WIPI2,C,GBL1103571,WIPI2-R-C,0.946581237,295,WIPI2-R-C,NormLinear,0.64882574,0.901504069,1.179589219,1.05086536
XBP-1,G,XBP1,C,GBL1103703,XBP-1-G-C,0.883313555,296,XBP-1-G-C,NormLinear,0.890207274,0.91610379,0.910503198,1.20233747
XPA,M,XPA,V,GBL1103670,XPA-M-V,0.93436561,297,XPA-M-V,NormLinear,1.587152283,1.159883418,0.766099974,0.763387837
XPF,R,ERCC4,C,GBL1103597,XPF-R-C,0.963858075,298,XPF-R-C,NormLinear,0.991042413,1.010633863,0.989062832,1.045025986
XRCC1,R,XRCC1,C,GBL1103462,XRCC1-R-C,0.922085809,299,XRCC1-R-C,NormLinear,0.928512209,0.94911897,1.103390214,1.100318601
YAP,R,YAP1,C,GBL1103605,YAP-R-C,0.950331972,300,YAP-R-C,NormLinear,0.956593957,1.064916356,0.918077518,0.767680393
YAP_pS127,R,YAP1,V,GBL1103450,YAP_pS127-R-V,0.948217473,301,YAP_pS127-R-V,NormLinear,1.336207178,1.472356071,0.266044215,0.095057966
YB1_pS102,R,YBX1,V,GBL1103455,YB1_pS102-R-V,0.970802262,302,YB1_pS102-R-V,NormLinear,0.296266167,0.659678759,1.566586731,2.400614153
ZAP-70,R,ZAP70,C,GBL1103591,ZAP-70-R-C,0.848935646,303,ZAP-70-R-C,NormLinear,0.926761351,0.936393969,1.123754268,1.129910681
